feature,importance
total load actual_lag1,0.3998749297031933
total load actual_rolling_mean_24,0.213758488524484
hour,0.11353507917578642
hour_cos,0.09360196401729705
total load actual_lag24,0.0423052415920672
price day ahead,0.04162134173811397
hour_sin,0.03278804767497936
price actual,0.02534440645881727
day_sin,0.006893925258485579
is_weekend,0.006427055362816917
day_of_week,0.006232326953085801
month,0.004028608324091008
temp_celsius,0.00394830876958122
humidity,0.0025993274309042045
month_cos,0.002408648196170586
month_sin,0.001923700352340706
pressure,0.0009606049260001247
day_cos,0.000950695046016812
wind_speed,0.00046628859304697257
clouds_all,0.0002922563757921288
is_raining,3.8755526929405813e-05
